original_name,authoritative_name,uni_id,uni_data_source
other CSUs,other CSUs,,
other CUNY schools,other CUNY schools,,
OU,OU,,
Pennsylvania university system,Pennsylvania university system,,
Princeton University l,Princeton University l,,
Queens College,Queens College,,
Rutgers,Rutgers,,
Rutgers University,Rutgers University,,
Ryerson,Ryerson,,
Ryerson University,Ryerson University,,
Sac State,Sac State,,
Saint Mary’s,Saint Mary’s,,
Santa Rosa Junior College and Solano Community College,Santa Rosa Junior College and Solano Community College,,
Seneca at York,Seneca at York,,
Seneca college campus at York University,Seneca college campus at York University,,
Seneca’s Newnham campus.,Seneca’s Newnham campus.,,
several CEGEPs in the downtown Montreal area,several CEGEPs in the downtown Montreal area,,
several Chicago-area colleges,several Chicago-area colleges,,
several Montreal universities and CEGEPs,several Montreal universities and CEGEPs,,
Sheridan college,Sheridan college,,
Sheridan College,Sheridan College,,
Smith College in Northampton Massachusetts,Smith College in Northampton Massachusetts,,
South Puget Sound,South Puget Sound,,
Southern Illinois University,Southern Illinois University,,
St George campus,St George campus,,
St. Augustine,St. Augustine,,
St. Olaf,St. Olaf,,
St. Paul College,St. Paul College,,
students from different CUNY schools,students from different CUNY schools,,
SUNY,SUNY,,
SUNY Brockport,SUNY Brockport,,
SUNY New Paltz,SUNY New Paltz,,
SUNY Purchase,SUNY Purchase,,
Texas A&M University,Texas A&M University,,
Texas A&M University in College Station,Texas A&M University in College Station,,
Texas Southern University.,Texas Southern University.,,
the 23 California State University campuses,the 23 California State University campuses,,
the Art Institute of Chicago,the Art Institute of Chicago,,
The Claremont Colleges,The Claremont Colleges,,
the UC system at almost every campus,the UC system at almost every campus,,
the University of California San Diego,the University of California San Diego,,
the University of Chicago,the University of Chicago,,
the University of Southern California,the University of Southern California,,
the University of Toronto campus,the University of Toronto campus,,
the University of Victoria,the University of Victoria,,
Thompson Rivers University,Thompson Rivers University,,
UBC Okanagan,UBC Okanagan,,
UC Berkeley,UC Berkeley,,
UC campuses,UC campuses,,
UC Davis,UC Davis,,
UC Irvine,UC Irvine,,
UC Merced,UC Merced,,
UC Riverside,UC Riverside,,
UC San Diego,UC San Diego,,
UC San Francisco,UC San Francisco,,
UC Santa Barbara,UC Santa Barbara,,
UC Santa Cruz,UC Santa Cruz,,
UChicago,UChicago,,
UCLA,UCLA,,
UCSD,UCSD,,
UCSF,UCSF,,
