original_name,authoritative_name,uni_id,uni_data_source,canonical_event_key,notes
University of Chicago,University of Chicago,144050,ipeds,20151209_Chicago_Rally_Labour,
University of Chicago,University of Chicago,144050,ipeds,20160111_Chicago_Petition_UniversityGovernance,
University of Chicago,University of Chicago,144050,ipeds,20160125_Chicago_Vigil_Labour,
University of Chicago,University of Chicago,144050,ipeds,20160226_Chicago_Rally_Labour,
University of Chicago,University of Chicago,144050,ipeds,20151015_NewYorkCity_Sit-In_Labor,
University of Chicago,University of Chicago,144050,ipeds,20160401_Chicago-UChicago_Rally_PublicFunding,
University of Chicago,University of Chicago,144050,ipeds,20160402_Chicago_Rally_PublicFunding,
University of Chicago,University of Chicago,144050,ipeds,20160427_Chicago_Rally_Labour,
University of Chicago,University of Chicago,144050,ipeds,20160512_Chicago_Boycott_SexualAssault,
University of Chicago,University of Chicago,144050,ipeds,20160509_Chicago_Blockade_PublicFunding,
University of Chicago,University of Chicago,144050,ipeds,20160519_Chicago_Rally_UniversityGovernance,
University of Chicago,University of Chicago,144050,ipeds,20160601_Chicago_Strike_Labour,
University of Chicago,University of Chicago,144050,ipeds,20160531_Chicago_Rally_UniversityGovernance,
University of Chicago,University of Chicago,144050,ipeds,20160604_Chicago_Rally_UniversityGovernance,
University of Chicago,University of Chicago,144050,ipeds,20160603_Chicago_Petition_UniversityGovernance,
University of Chicago,University of Chicago,144050,ipeds,20160601_Chicago_Petition_UniversityGovernance,
University of Chicago,University of Chicago,144050,ipeds,20160515_Virtual_Petition_UniversityGovernance,
