original_name,authoritative_name,uni_id,uni_data_source,canonical_event_key,notes
Yale University,Yale University,130794,ipeds,20150409_NewHaven_Occupation_Environmental,
Yale University,Yale University,130794,ipeds,20150601_NewHaven_March_UniversityGovernance,
Yale University,Yale University,130794,ipeds,20141001_NewHaven_Petition_Environmental,
Hampshire College,Hampshire College,NA,NA,20161127_Amherst_Rally_Universitygovernance,
Marshall University,Marshall University,NA,NA,20151021_Huntington_Rally_OtherIssue,
Marshall University,Marshall University,NA,NA,20170203_Huntington_March_Trump(Against),
Marshall University,Marshall University,NA,NA,20131023_Huntington_March_SexualAssault,
Bates College,Bates College,NA,NA,20160122_Lewiston_SymbolicDisplay_Environmental,
Bates College,Bates College,NA,NA,20161028_Lewiston_SymbolicDisplay_Anti-Racism,
Bates College,Bates College,NA,NA,20180314_Lewiston_Walkout_GunControl,
Bates College,Bates College,NA,NA,20150127_Lewiston_Petition_UniversityGovernance,
Bates College,Bates College,NA,NA,20150501_Lewiston_Vigil_PoliceViolence,
Bates College,Bates College,NA,NA,20150504_Lewiston_March_PoliceViolence,
Howard University,Howard University,131520,ipeds,2016091_Washington_Rally_Anti-Racism,
Howard University,Howard University,131520,ipeds,20150924_WashingtonDC_Picketing_Labor,
Howard University,Howard University,131520,ipeds,20150925_WashingtonDC_SitIn_UniversityGovernance,
Howard University,Howard University,131520,ipeds,20160322_Washington_Sit-In_SexualAssault,
Howard University,Howard University,131520,ipeds,20160401_WashingtonDC-Howard_Petition_Labor,
Howard University,Howard University,131520,ipeds,20160507_WashingtonDC_Demonstration_Labor,
Howard University,Howard University,131520,ipeds,20170131_Washington_March_ImmigrationFor,
Howard University,Howard University,131520,ipeds,20170213_Washington_Demonstration_ImmigrationFor,
Howard University,Howard University,131520,ipeds,20160810_Roanoke_Occupation_PoliticalCorruption,
Howard University,Howard University,131520,ipeds,20170922_Washington_Disruption_Anti-racism,
Howard University,Howard University,131520,ipeds,20180329_Washington_OtherForm_UniversityGovernance,
Howard University,Howard University,131520,ipeds,20130831_Washington_March_LabourAndWork,
Gallaudet University,Gallaudet University,NA,NA,20151109_WashingtonDC_Demonstration_OtherIssue,
Catholic University of America,Catholic University of America,NA,NA,20160406_Washington_Demonstration_LGB,
Catholic University of America,Catholic University of America,NA,NA,20180314_Washington_OtherForm_GunControl,
Catholic University of America,Catholic University of America,NA,NA,20131203_Washington_SymbolicDisplay_PoliceViolence,
Columbia College Chicago,Columbia College-Chicago,144281,ipeds,20160216_Chicago_Rally_PublicFunding,
Columbia College Chicago,Columbia College-Chicago,144281,ipeds,20161021_Chicago_Rally_TransgenderIssues(For),
Columbia College Chicago,Columbia College-Chicago,144281,ipeds,20160208_Chicago_PressConference_PublicFunding,
Columbia College Chicago,Columbia College-Chicago,144281,ipeds,20160208_Chicago_OtherForm_PublicFunding,
Columbia College Chicago,Columbia College-Chicago,144281,ipeds,20150501_Chicago_Occupation_TuitionFees,
East Los Angeles College,East Los Angeles College,113856,ipeds,20161116_LosAngeles_Immigration(for),
East Los Angeles College,East Los Angeles College,113856,ipeds,20160505_MontereyPark_Rally_OtherIssue,
