source,name,og_name,ipeds_dummy
2,universities throughout Utah,universities throughout Utah,FALSE
2,UTM-Sheridan,UTM-Sheridan,FALSE
2,UTSC-Centennial,UTSC-Centennial,FALSE
2,Colleges of Applied Arts and Technology,Colleges of Applied Arts and Technology,FALSE
2,University of Maryland,University of Maryland,FALSE
2,King’s,King’s,FALSE
2,Dalhousie,Dalhousie,FALSE
2,Nova Scotia College of Arts and Design (NSCAD),Nova Scotia College of Arts and Design (NSCAD),FALSE
2,Mount Saint Vincent,Mount Saint Vincent,FALSE
2,Saint Mary’s,Saint Mary’s,FALSE
2,Université de Saint-Boniface,Université de Saint-Boniface,FALSE
2,several Montreal universities and CEGEPs,several Montreal universities and CEGEPs,FALSE
2,CEGEP du Vieux-Montréal.,CEGEP du Vieux-Montréal.,FALSE
2,UCLA,UCLA,FALSE
2,Université du Québec à Montréal (UQAM,Université du Québec à Montréal (UQAM,FALSE
2,Le cégep du Vieux Montréal,Le cégep du Vieux Montréal,FALSE
2,Rutgers University,Rutgers University,FALSE
2,Columbia University,Columbia University,FALSE
2,Princeton University l,Princeton University l,FALSE
2,students from different CUNY schools,students from different CUNY schools,FALSE
2,John Jay College,John Jay College,FALSE
2,Hunter College,Hunter College,FALSE
2,other CUNY schools,other CUNY schools,FALSE
2,University of British Columbia,University of British Columbia,FALSE
2,the University of Victoria,the University of Victoria,FALSE
2,Simon Fraser University,Simon Fraser University,FALSE
2,Concordia Universities,Concordia Universities,FALSE
2,Dawson College,Dawson College,FALSE
2,University of Saskatchewan,University of Saskatchewan,FALSE
2,Emory University,Emory University,TRUE
2,Morehouse College,Morehouse College,TRUE
2,Georgia Institute of Technology-Main Campus,Georgia Institute of Technology,TRUE
2,Spelman College,Spelman College,TRUE
2,Kennesaw State University,Kennesaw State University,TRUE
2,Tufts University,Tufts,TRUE
2,Massachusetts Institute of Technology,Massachusetts Institute of Technology,TRUE
2,Berklee College of Music,Berklee College of Music,TRUE
2,Emerson College,Emerson College,TRUE
2,Brandeis University,Brandeis University,TRUE
2,York College,York,TRUE
2,University of Pennsylvania,University of Pennsylvania,TRUE
2,Drexel University,Drexel,TRUE
2,Temple University,Temple,TRUE
2,Lewis & Clark College,Lewis & Clark,TRUE
2,Pacific University,Pacific,TRUE
2,Smith College,Smith College,TRUE
2,Carnegie Mellon University,Carnegie Mellon,TRUE
2,Houston Community College,Houston Community College,TRUE
2,University at Buffalo,University at Buffalo,TRUE
2,Yale University,Yale University,TRUE
2,Lewis University,Lewis University,TRUE
2,DePaul University,DePaul,TRUE
2,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,TRUE
2,Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania,TRUE
2,California University of Pennsylvania,California University of Pennsylvania,TRUE
2,Cheyney University of Pennsylvania,Cheyney University of Pennsylvania,TRUE
2,Clarion University of Pennsylvania,Clarion University of Pennsylvania,TRUE
2,East Stroudsburg University of Pennsylvania,East Stroudsburg University of Pennsylvania,TRUE
