og_name,name,true_name,ipeds_dummy,canada,
University of Michigan,University of Michigan,University of Michigan-Ann Arbor,FALSE,,
McGill,McGill,,FALSE,TRUE,
University of Guelph,University of Guelph,,FALSE,TRUE,
University of Victoria,University of Victoria,,FALSE,TRUE,
University of Texas at Austin,University of Texas at Austin,The University of Texas at Austin,FALSE,,
"Bloomsburg, California, Cheyney, Clarion, East Stroudsburg, Edinboro, Indiana, Kutztown, Lock Haven, Mansfield, Millersville, Shippensburg, Slippery Rock and West Chester universities of Pennsylvania","Bloomsburg, California, Cheyney, Clarion, East Stroudsburg, Edinboro, Indiana, Kutztown, Lock Haven, Mansfield, Millersville, Shippensburg, Slippery Rock and West Chester universities of Pennsylvania",,FALSE,,
North Carolina A-T State University,North Carolina A-T State University,North Carolina A & T State University,FALSE,,
Baruch College,Baruch College,CUNY Bernard M Baruch College,FALSE,,
New School,New School,The New School,FALSE,,
UH-Manoa,UH-Manoa,University of Hawaii at Manoa,FALSE,,
The Massachusetts Institute of Technology,The Massachusetts Institute of Technology,Massachusetts Institute of Technology,FALSE,,
UC Irvine,UC Irvine,University of California-Irvine,FALSE,,
University of Missouri Kansas City,University of Missouri Kansas City,University of Missouri-Kansas City,FALSE,,
Creighton University The Creightonian,Creighton University The Creightonian,Creighton University,FALSE,,
SUNY,SUNY,SUNY Buffalo State,FALSE,,
University of Texas- Austin,University of Texas- Austin,The University of Texas at Austin,FALSE,,
The University of San Diego,The University of San Diego,University of San Diego,FALSE,,
University of Texas,University of Texas,The University of Texas at Austin,FALSE,,
the University of Southern California,the University of Southern California,University of Southern California,FALSE,,
UCLA,UCLA,University of California-Los Angeles,FALSE,,
Texas A &M University Kingsville,Texas A &M University Kingsville,Texas A & M University-Kingsville,FALSE,,
University of Wisconsin LaCrosse,University of Wisconsin LaCrosse,University of Wisconsin-La Crosse,FALSE,,
University of California,University of California,University of California-Berkeley,FALSE,,
"University of Nevada, Las Vegas","University of Nevada, Las Vegas",University of Nevada-Las Vegas,FALSE,,
The Claremont Colleges,The Claremont Colleges,Claremont McKenna College,FALSE,,
St. Olaf,St. Olaf,St Olaf College,FALSE,,
"University of California, San Diego","University of California, San Diego",University of California-San Diego,FALSE,,
UC San Diego,UC San Diego,University of California-San Diego,FALSE,,
Cegep du Vieux Montreal,Cegep du Vieux Montreal,,FALSE,TRUE,
Cégep de Saint-Laurent,Cégep de Saint-Laurent,,FALSE,TRUE,
Concord College,Concord College,Concord University,FALSE,,
Rutgers University,Rutgers University,Rutgers University-New Brunswick,FALSE,,
University of Puerto Rico,University of Puerto Rico,University of Puerto Rico-Rio Piedras,FALSE,,
Long Island University Brooklyn Campus,Long Island University Brooklyn Campus,Long Island University-Brooklyn Campus,FALSE,,
Hunter College,Hunter College,CUNY Hunter College,FALSE,,
Lehman College,Lehman College,CUNY Lehman College,FALSE,,
NYU,NYU,New York University,FALSE,,
Cal Poly San Luis Obispo,Cal Poly San Luis Obispo,California Polytechnic State University-San Luis Obispo,FALSE,,
Westchester Community College,Westchester Community College,SUNY Westchester Community College,FALSE,,
University of Texas Pan American,University of Texas Pan American,The University of Texas-Pan American,FALSE,,
Prairie View A&M University,Prairie View A&M University,Prairie View A & M University,FALSE,,
University of Washington,University of Washington,University of Washington-Seattle Campus,FALSE,,
University of Washington Seattle campus,University of Washington Seattle campus,University of Washington-Seattle Campus,FALSE,,
University of Saksa,University of Saksa,,FALSE,TRUE,
UC Berkeley,UC Berkeley,University of California-Berkeley,FALSE,,
UCSF,UCSF,University of California-San Francisco,FALSE,,
UCSF Mission Bay,UCSF Mission Bay,University of California-San Francisco,FALSE,,
UC San Francisco,UC San Francisco,,FALSE,,
St Michael's College,St Michael's College,Saint Michael's College,FALSE,,
the University of California San Diego,the University of California San Diego,University of California-San Diego,FALSE,,
University California San Diego,University California San Diego,University of California-San Diego,FALSE,,
Shippensburg,Shippensburg,Shippensburg University of Pennsylvania,FALSE,,
Loyola College Maryland,Loyola College Maryland,Loyola University Maryland,FALSE,,
University of Missouri St.Louis,University of Missouri St.Louis,University of Missouri-St Louis,FALSE,,
University of Wisconsin Eau Claire,University of Wisconsin Eau Claire,University of Wisconsin-Eau Claire,FALSE,,
Wilfrid Laurier University,Wilfrid Laurier University,,FALSE,TRUE,
St. Paul College,St. Paul College,Saint Paul College,FALSE,,
El Camino College,El Camino College,El Camino College-Compton Center,FALSE,,
Florida A&M,Florida A&M,Florida Agricultural and Mechanical University,FALSE,,
University of Tampa,University of Tampa,The University of Tampa,FALSE,,
Texas A&M University in College Station,Texas A&M University in College Station,Texas A & M University-College Station,FALSE,,
Texas A &M University,Texas A &M University,Texas A & M University-College Station,FALSE,,
Texas A&M University,Texas A&M University,Texas A & M University-College Station,FALSE,,
University of Winnipeg,University of Winnipeg,,FALSE,TRUE,
the University of Toronto campus,the University of Toronto campus,,FALSE,TRUE,
University of Alberta,University of Alberta,,FALSE,TRUE,
UC Riverside,UC Riverside,University of California-Riverside,FALSE,,
University of Virginia Wise,University of Virginia Wise,The University of Virginia's College at Wise,FALSE,,
University of Texas Dallas,University of Texas Dallas,The University of Texas at Dallas,FALSE,,
UC Davis,UC Davis,University of California-Davis,FALSE,,
"University of California, Davis","University of California, Davis",University of California-Davis,FALSE,,
"University of California,Davis","University of California,Davis",University of California-Davis,FALSE,,
Bethune Cookman University,Bethune Cookman University,Bethune-Cookman University,FALSE,,
Linfield College,Linfield College,Linfield College-McMinnville Campus,FALSE,,
Media network college,Media network college,,FALSE,,
Concordia,Concordia,Concordia College-New York,FALSE,,
CÉGEP Vieux-Montreal,CÉGEP Vieux-Montreal,,FALSE,TRUE,
l’Université du Québec à Montréal (UQAM),l’Université du Québec à Montréal (UQAM),,FALSE,TRUE,
University of Montreal,University of Montreal,,FALSE,TRUE,
"already demonstrated at Humber College, Sheridan College and Fanshaw College in London, Ont","already demonstrated at Humber College, Sheridan College and Fanshaw College in London, Ont",,FALSE,TRUE,
CEGEP Maisonneuve,CEGEP Maisonneuve,,FALSE,TRUE,
CEGEP Marie-Victorin,CEGEP Marie-Victorin,,FALSE,TRUE,
CEGEP Saint-Laurent,CEGEP Saint-Laurent,,FALSE,TRUE,
UTSG,UTSG,,FALSE,TRUE,
Selkirk College,Selkirk College,,FALSE,TRUE,
University of North Carolina Charlotte,University of North Carolina Charlotte,University of North Carolina at Charlotte,FALSE,,
"Southern Illinois University,Carbondale","Southern Illinois University,Carbondale",Southern Illinois University Carbondale,FALSE,,
North Carolina at Charlotte,North Carolina at Charlotte,University of North Carolina at Charlotte,FALSE,,
St.Mary's College of Maryland,St.Mary's College of Maryland,St. Mary's College of Maryland,FALSE,,
sign listing kinds of sinners hated by God,sign listing kinds of sinners hated by God,,FALSE,,
Auraria Campus,Auraria Campus,University of Colorado Denver,FALSE,,
UQAM,UQAM,,FALSE,TRUE,
CEGEP du Vieux-Montreal,CEGEP du Vieux-Montreal,,FALSE,TRUE,
L’Université du Québec à Montréal,L’Université du Québec à Montréal,,FALSE,TRUE,
ETSU,ETSU,East Tennessee State University,FALSE,,
East Tennessee State University:,East Tennessee State University:,East Tennessee State University,FALSE,,
University of Arkansas Main Campus,University of Arkansas Main Campus,University of Arkansas,FALSE,,
University of Nebraska at Lincoln,University of Nebraska at Lincoln,University of Nebraska-Lincoln,FALSE,,
K-State,K-State,Kansas State University,FALSE,,
Georgia Tech,Georgia Tech,Georgia Institute of Technology-Main Campus,FALSE,,
University of California-Berkley,University of California-Berkley,University of California-Berkeley,FALSE,,
University of California at Berkeley,University of California at Berkeley,University of California-Berkeley,FALSE,,
Millersville University,Millersville University,Millersville University of Pennsylvania,FALSE,,
Virginia Tech,Virginia Tech,Virginia Polytechnic Institute and State University ,FALSE,,
Berklee College,Berklee College,Berklee College of Music,FALSE,,
Université de Montréal (UdeM),Université de Montréal (UdeM),,FALSE,TRUE,
the University of Minnesota's St. Paul campus,the University of Minnesota's St. Paul campus,University of Minnesota-Twin Cities,FALSE,,
University of South Florida St.Petersburg,University of South Florida St.Petersburg,University of South Florida-St Petersburg,FALSE,,
Florida A&M University,Florida A&M University,Florida Agricultural and Mechanical University,FALSE,,
Laurier,Laurier,,FALSE,TRUE,
Peace College,Peace College,William Peace University,FALSE,,
Centennial College,Centennial College,Centenary College,FALSE,,
Seneca at York,Seneca at York,,FALSE,TRUE,
George Brown College,George Brown College,,FALSE,TRUE,
Seneca college campus at York University,Seneca college campus at York University,,FALSE,TRUE,
Sheridan college,Sheridan college,,FALSE,TRUE,
Brooklyn College,Brooklyn College,CUNY Brooklyn College,FALSE,,
University of Waterloo,University of Waterloo,,FALSE,TRUE,
Université du Québec à Montréal,Université du Québec à Montréal,,FALSE,TRUE,
Université de Montréal,Université de Montréal,,FALSE,TRUE,
Universite de Montreal,Universite de Montreal,,FALSE,TRUE,
CEGEP Lionel-Groulx,CEGEP Lionel-Groulx,,FALSE,TRUE,
Université Laval,Université Laval,,FALSE,TRUE,
CEGEP Edouard-Montpetit,CEGEP Edouard-Montpetit,,FALSE,TRUE,
University of Sherbrooke,University of Sherbrooke,,FALSE,TRUE,
CEGEP Montmorency,CEGEP Montmorency,,FALSE,TRUE,
St. Louis Community College,St. Louis Community College,Saint Louis Community College,FALSE,,
"California State University, San Marcos","California State University, San Marcos",California State University-San Marcos,FALSE,,
UCSF Mission Bay campus,UCSF Mission Bay campus,University of San Francisco,FALSE,,
Ocean,Ocean,Ocean County College,FALSE,,
Chinatown,Chinatown,,FALSE,,
Caltech,Caltech,California Institute of Technology,FALSE,,
UCSD,UCSD,University of California-San Diego,FALSE,,
University of Toronto Scarborough,University of Toronto Scarborough,,FALSE,TRUE,
University of Maryland,University of Maryland,University of Maryland-College Park,FALSE,,
USC,USC,University of Southern California,FALSE,,
University of Northern British Columbia,University of Northern British Columbia,,FALSE,TRUE,
Thompson Rivers University,Thompson Rivers University,,FALSE,TRUE,
