og_name,name,true_name,ipeds_dummy,canada,
University of British Columbia,University of British Columbia,,FALSE,TRUE,
the University of Victoria,the University of Victoria,,FALSE,TRUE,
Simon Fraser University,Simon Fraser University,,FALSE,TRUE,
Concordia Universities,Concordia Universities,,FALSE,TRUE,
Dawson College,Dawson College,Dawson Community College,FALSE,,
University of Saskatchewan,University of Saskatchewan,,FALSE,TRUE,
Emory University,Emory University,,TRUE,,
Morehouse College,Morehouse College,,TRUE,,
Georgia Institute of Technology,Georgia Institute of Technology-Main Campus,,TRUE,,
Spelman College,Spelman College,,TRUE,,
Kennesaw State University,Kennesaw State University,,TRUE,,
Tufts,Tufts University,,TRUE,,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,,TRUE,,
Berklee College of Music,Berklee College of Music,,TRUE,,
Emerson College,Emerson College,,TRUE,,
Brandeis University,Brandeis University,,TRUE,,
York,York College,,TRUE,,
University of Pennsylvania,University of Pennsylvania,,TRUE,,
Drexel,Drexel University,,TRUE,,
Temple,Temple University,,TRUE,,
Lewis & Clark,Lewis & Clark College,,TRUE,,
Pacific,Pacific University,,TRUE,,
Smith College,Smith College,,TRUE,,
Carnegie Mellon,Carnegie Mellon University,,TRUE,,
Houston Community College,Houston Community College,,TRUE,,
University at Buffalo,University at Buffalo,,TRUE,,
Yale University,Yale University,,TRUE,,
Lewis University,Lewis University,,TRUE,,
DePaul,DePaul University,,TRUE,,
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,,TRUE,,
Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania,,TRUE,,
California University of Pennsylvania,California University of Pennsylvania,,TRUE,,
Cheyney University of Pennsylvania,Cheyney University of Pennsylvania,,TRUE,,
Clarion University of Pennsylvania,Clarion University of Pennsylvania,,TRUE,,
East Stroudsburg University of Pennsylvania,East Stroudsburg University of Pennsylvania,,TRUE,,
Edinboro University of Pennsylvania,Edinboro University of Pennsylvania,,TRUE,,
Indiana University of Pennsylvania,Indiana University of Pennsylvania-Main Campus,,TRUE,,
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,,TRUE,,
Mansfield University of Pennsylvania,Mansfield University of Pennsylvania,,TRUE,,
Millersville University of Pennsylvania,Millersville University of Pennsylvania,,TRUE,,
Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania,,TRUE,,
Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania,,TRUE,,
West Chester University of Pennsylvania,West Chester University of Pennsylvania,,TRUE,,
Southern Connecticut State University,Southern Connecticut State University,,TRUE,,
Eastern Illinois,Eastern Illinois University,,TRUE,,
Northeastern Illinois,Northeastern Illinois University,,TRUE,,
Northeastern Illinois University,Northeastern Illinois University,,TRUE,,
Carleton,Carleton College,,TRUE,,
Carlow,Carlow University,,TRUE,,
Community College of Allegheny County,Community College of Allegheny County,,TRUE,,
Weber State,Weber State University,,TRUE,,
Texas State University,Texas State University,,TRUE,,
University of the District of Columbia,University of the District of Columbia,,TRUE,,
College of William and Mary,College of William and Mary,,TRUE,,
Johns Hopkins,Johns Hopkins University,,TRUE,,
University of Southern California,University of Southern California,,TRUE,,
Shaw,Shaw University,,TRUE,,
Duke,Duke University,,TRUE,,
Dunwoody College of Technology,Dunwoody College of Technology,,TRUE,,
Augsburg,Augsburg University,,TRUE,,
Macalester College,Macalester College,,TRUE,,
Lutheran School of Theology at Chicago,Lutheran School of Theology at Chicago,,TRUE,,
Milligan College,Milligan College,,TRUE,,
Emmanuel Christian Seminary,Emmanuel Christian Seminary,,TRUE,,
Northwestern,Northwestern University,,TRUE,,
Central Connecticut State University,Central Connecticut State University,,TRUE,,
Brown,Brown University,,TRUE,,
Lesley University,Lesley University,,TRUE,,
Lesley,Lesley University,,TRUE,,
Northeastern,Northeastern University,,TRUE,,
Holy Cross,Holy Cross College,,TRUE,,
Otterbein University,Otterbein University,,TRUE,,
Ohio University,Ohio University-Main Campus,,TRUE,,
Salt Lake Community College,Salt Lake Community College,,TRUE,,
Chatham University,Chatham University,,TRUE,,
The New School,The New School,,TRUE,,
Lane Community,Lane Community College,,TRUE,,
University of Missouri-Columbia,University of Missouri-Columbia,,TRUE,,
University of Missouri Columbia,University of Missouri-Columbia,,TRUE,,
University of Missouri-Columbia's campus,University of Missouri-Columbia,,TRUE,,
University of California Berkeley,University of California-Berkeley,,TRUE,,
Amherst College,Amherst College,,TRUE,,
University of Massachusetts Amherst,University of Massachusetts-Amherst,,TRUE,,
Clark Atlanta University,Clark Atlanta University,,TRUE,,
Emory University,Emory University,,TRUE,,
Ursinus College,Ursinus College,,TRUE,,
University of Miami,University of Miami,,TRUE,,
De Anza College,De Anza College,,TRUE,,
University of California Davis,University of California-Davis,,TRUE,,
Luther College,Luther College,,TRUE,,
Fairfield University,Fairfield University,,TRUE,,
University of North Dakota,University of North Dakota,,TRUE,,
Pitzer College,Pitzer College,,TRUE,,
Pomona College,Pomona College,,TRUE,,
Boston University,Boston University,,TRUE,,
Massachusetts College of Art and Design,Massachusetts College of Art and Design,,TRUE,,
Dartmouth College,Dartmouth College,,TRUE,,
Dartmouth,Dartmouth College,,TRUE,,
Boston College,Boston College,,TRUE,,
James Madison University,James Madison University,,TRUE,,
Harvard University,Harvard University,,TRUE,,
Harvard,Harvard University,,TRUE,,
Illinois Wesleyan University,Illinois Wesleyan University,,TRUE,,
University of Louisville,University of Louisville,,TRUE,,
Yale,Yale University,,TRUE,,
Texas Tech University,Texas Tech University,,TRUE,,
University of Notre Dame,University of Notre Dame,,TRUE,,
Mills College,Mills College,,TRUE,,
SUNY at Albany,SUNY at Albany,,TRUE,,
University of Delaware,University of Delaware,,TRUE,,
University of Wisconsin Madison,University of Wisconsin-Madison,,TRUE,,
Illinois State University,Illinois State University,,TRUE,,
Oberlin College,Oberlin College,,TRUE,,
Chapman University,Chapman University,,TRUE,,
Princeton University,Princeton University,,TRUE,,
Seattle University,Seattle University,,TRUE,,
Brown University,Brown University,,TRUE,,
Providence College,Providence College,,TRUE,,
Rhode Island School of Design,Rhode Island School of Design,,TRUE,,
Washington State University,Washington State University,,TRUE,,
Wesleyan University,Wesleyan University,,TRUE,,
Seton Hall University,Seton Hall University,,TRUE,,
Stanford University,Stanford University,,TRUE,,
Marquette University,Marquette University,,TRUE,,
Cerritos College,Cerritos College,,TRUE,,
West Virginia University,West Virginia University,,TRUE,,
University of Idaho,University of Idaho,,TRUE,,
University of Toledo,University of Toledo,,TRUE,,
Northwestern University,Northwestern University,,TRUE,,
Vanderbilt University,Vanderbilt University,,TRUE,,
Mississippi State University,Mississippi State University,,TRUE,,
Pennsylvania State University,Pennsylvania State University-Main Campus,,TRUE,,
Florida State University,Florida State University,,TRUE,,
Middle Tennessee State University,Middle Tennessee State University,,TRUE,,
University of New Mexico,University of New Mexico-Main Campus,,TRUE,,
St Olaf College,St Olaf College,,TRUE,,
Temple University,Temple University,,TRUE,,
University of South Florida,University of South Florida-Main Campus,,TRUE,,
Towson University,Towson University,,TRUE,,
University of Utah,University of Utah,,TRUE,,
Brandeis University,Brandeis University,,TRUE,,
University of California Riverside,University of California-Riverside,,TRUE,,
San Francisco State University,San Francisco State University,,TRUE,,
University of Illinois at Chicago,University of Illinois at Chicago,,TRUE,,
University of Houston,University of Houston,,TRUE,,
DePaul University,DePaul University,,TRUE,,
Clemson University,Clemson University,,TRUE,,
Georgetown University,Georgetown University,,TRUE,,
University of New Hampshire,University of New Hampshire-Main Campus,,TRUE,,
Duke University,Duke University,,TRUE,,
American University,American University,,TRUE,,
Webster University,Webster University,,TRUE,,
College of William and Mary,College of William and Mary,,TRUE,,
Wake Forest University,Wake Forest University,,TRUE,,
George Washington University,George Washington University,,TRUE,,
Grand Valley State University,Grand Valley State University,,TRUE,,
Ohio University,Ohio University-Main Campus,,TRUE,,
San Diego State University,San Diego State University,,TRUE,,
Auburn University,Auburn University,,TRUE,,
University of Vermont,University of Vermont,,TRUE,,
Case Western Reserve University,Case Western Reserve University,,TRUE,,
University of South Carolina Columbia,University of South Carolina-Columbia,,TRUE,,
San Diego City College,San Diego City College,,TRUE,,
Emporia State University,Emporia State University,,TRUE,,
Tufts University,Tufts University,,TRUE,,
Pacific University,Pacific University,,TRUE,,
University of Florida,University of Florida,,TRUE,,
Knox College,Knox College,,TRUE,,
Kenyon College,Kenyon College,,TRUE,,
Whitman College,Whitman College,,TRUE,,
Clark University,Clark University,,TRUE,,
Worcester State University,Worcester State University,,TRUE,,
Glendale Community College,Glendale Community College,,TRUE,,
University of Central Florida,University of Central Florida,,TRUE,,
University of Maine,University of Maine,,TRUE,,
Radford University,Radford University,,TRUE,,
Bradley University,Bradley University,,TRUE,,
Carnegie Mellon University,Carnegie Mellon University,,TRUE,,
Lewis & Clark College,Lewis & Clark College,,TRUE,,
University of Nevada Reno,University of Nevada-Reno,,TRUE,,
Virginia Commonwealth University,Virginia Commonwealth University,,TRUE,,
University of Rochester,University of Rochester,,TRUE,,
University of San Francisco,University of San Francisco,,TRUE,,
Lawrence University,Lawrence University,,TRUE,,
City College of San Francisco,City College of San Francisco,,TRUE,,
Appalachian State,Appalachian State University,,TRUE,,
California State University Chico,California State University-Chico,,TRUE,,
Hamilton College,Hamilton College,,TRUE,,
University of California-Davis,University of California-Davis,,TRUE,,
University of Michigan Dearborn,University of Michigan-Dearborn,,TRUE,,
Florida Gulf Coast University,Florida Gulf Coast University,,TRUE,,
Oklahoma State University,Oklahoma State University-Main Campus,,TRUE,,
Swarthmore College,Swarthmore College,,TRUE,,
Rowan University,Rowan University,,TRUE,,
East Carolina University,East Carolina University,,TRUE,,
University of Iowa,University of Iowa,,TRUE,,
Columbia College,Columbia College,,TRUE,,
East Tennessee State University,East Tennessee State University,,TRUE,,
University of Oklahoma Norman Campus,University of Oklahoma Norman Campus,,TRUE,,
Guilford College,Guilford College,,TRUE,,
Georgia State University,Georgia State University,,TRUE,,
SUNY at Binghamton,SUNY at Binghamton,,TRUE,,
Suffolk University,Suffolk University,,TRUE,,
Ithaca College,Ithaca College,,TRUE,,
Cornell University,Cornell University,,TRUE,,
University of Wyoming,University of Wyoming,,TRUE,,
University of Nebraska Lincoln,University of Nebraska-Lincoln,,TRUE,,
Utah State University,Utah State University,,TRUE,,
Mesa Community College,Mesa Community College,,TRUE,,
Ball State University,Ball State University,,TRUE,,
Murray State University,Murray State University,,TRUE,,
Kentucky State University,Kentucky State University,,TRUE,,
Eastern Illinois University,Eastern Illinois University,,TRUE,,
Lafayette College,Lafayette College,,TRUE,,
California State University Fresno,California State University-Fresno,,TRUE,,
University of Indianapolis,University of Indianapolis,,TRUE,,
Butler University,Butler University,,TRUE,,
Washburn University,Washburn University,,TRUE,,
Western Illinois University,Western Illinois University,,TRUE,,
Rock Valley College,Rock Valley College,,TRUE,,
University of Southern California,University of Southern California,,TRUE,,
Texas State,Texas State University,,TRUE,,
Santa Clara University,Santa Clara University,,TRUE,,
Union College,Union College,,TRUE,,
SUNY College at Plattsburgh,SUNY College at Plattsburgh,,TRUE,,
University of Chicago,University of Chicago,,TRUE,,
Appalachian State University,Appalachian State University,,TRUE,,
Naropa University,Naropa University,,TRUE,,
Lock Haven University,Lock Haven University,,TRUE,,
Canisius College,Canisius College,,TRUE,,
University of Illinois at Urbana Champaign,University of Illinois at Urbana-Champaign,,TRUE,,
University of Tulsa,University of Tulsa,,TRUE,,
Oral Roberts University,Oral Roberts University,,TRUE,,
Valdosta State University,Valdosta State University,,TRUE,,
Baylor University,Baylor University,,TRUE,,
Elmhurst College,Elmhurst College,,TRUE,,
California State University Fullerton,California State University-Fullerton,,TRUE,,
Grinnell College,Grinnell College,,TRUE,,
University of Mississippi,University of Mississippi,,TRUE,,
Wheaton College,Wheaton College,,TRUE,,
University of North Carolina Wilmington,University of North Carolina Wilmington,,TRUE,,
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,TRUE,,
Villanova University,Villanova University,,TRUE,,
Alma College,Alma College,,TRUE,,
University of San Diego,University of San Diego,,TRUE,,
Yale University,Yale University,,TRUE,,
Hampshire College,Hampshire College,,TRUE,,
Marshall University,Marshall University,,TRUE,,
Bates College,Bates College,,TRUE,,
Howard University,Howard University,,TRUE,,
Gallaudet University,Gallaudet University,,TRUE,,
Catholic University of America,Catholic University of America,,TRUE,,
Columbia College Chicago,Columbia College-Chicago,,TRUE,,
East Los Angeles College,East Los Angeles College,,TRUE,,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,,TRUE,,
Vassar College,Vassar College,,TRUE,,
Community College of Philadelphia,Community College of Philadelphia,,TRUE,,
Southern Illinois University Edwardsville,Southern Illinois University-Edwardsville,,TRUE,,
Elizabethtown College,Elizabethtown College,,TRUE,,
Gannon University,Gannon University,,TRUE,,
University of Oregon,University of Oregon,,TRUE,,
University of Alaska Fairbanks,University of Alaska Fairbanks,,TRUE,,
Sonoma State University,Sonoma State University,,TRUE,,
George Mason University,George Mason University,,TRUE,,
University of Arkansas,University of Arkansas,,TRUE,,
Fayetteville State University,Fayetteville State University,,TRUE,,
SUNY at Fredonia,SUNY at Fredonia,,TRUE,,
Calvin College,Calvin College,,TRUE,,
Grand Rapids Community College,Grand Rapids Community College,,TRUE,,
Denison University,Denison University,,TRUE,,
University of Northern Colorado,University of Northern Colorado,,TRUE,,
University of Kentucky,University of Kentucky,,TRUE,,
College of Menominee Nation,College of Menominee Nation,,TRUE,,
Quinnipiac University,Quinnipiac University,,TRUE,,
Trinity College,Trinity College,,TRUE,,
New York University,New York University,,TRUE,,
Hofstra University,Hofstra University,,TRUE,,
Simpson College,Simpson College,,TRUE,,
Barnard,Barnard College,,TRUE,,
Barnard College,Barnard College,,TRUE,,
University of North Florida,University of North Florida,,TRUE,,
Edward Waters College,Edward Waters College,,TRUE,,
Keene State College,Keene State College,,TRUE,,
University of Rhode Island,University of Rhode Island,,TRUE,,
Texas Southern University,Texas Southern University,,TRUE,,
Loyola University Chicago,Loyola University Chicago,,TRUE,,
Chicago State University,Chicago State University,,TRUE,,
Northeastern University,Northeastern University,,TRUE,,
Cornell,Cornell University,,TRUE,,
California State University Sacramento,California State University-Sacramento,,TRUE,,
University of Puget Sound,University of Puget Sound,,TRUE,,
University of Arizona,University of Arizona,,TRUE,,
Saint Mary's,Saint Mary's College,,TRUE,,
New Mexico State University,New Mexico State University-Main Campus,,TRUE,,
University of Kansas,University of Kansas,,TRUE,,
Fuller Theological Seminary,Fuller Theological Seminary,,TRUE,,
University of Wisconsin Oshkosh,University of Wisconsin-Oshkosh,,TRUE,,
University of Nebraska at Omaha,University of Nebraska at Omaha,,TRUE,,
Idaho State University,Idaho State University,,TRUE,,
Princeton,Princeton University,,TRUE,,
Loyola University New Orleans,Loyola University New Orleans,,TRUE,,
Bucks County Community College,Bucks County Community College,,TRUE,,
University of Connecticut,University of Connecticut,,TRUE,,
Drexel University,Drexel University,,TRUE,,
Columbia,Columbia College,,TRUE,,
Yeshiva University,Yeshiva University,,TRUE,,
Western Kentucky University,Western Kentucky University,,TRUE,,
Bowling Green State University,Bowling Green State University-Main Campus,,TRUE,,
San Antonio College,San Antonio College,,TRUE,,
The University of Texas at San Antonio,The University of Texas at San Antonio,,TRUE,,
Delta College,Delta College,,TRUE,,
Texas State University,Texas State University,,TRUE,,
Stanford,Stanford University,,TRUE,,
Middlebury College,Middlebury College,,TRUE,,
Seattle Pacific University,Seattle Pacific University,,TRUE,,
Bennington College,Bennington College,,TRUE,,
University of New Haven,University of New Haven,,TRUE,,
University of Northern Iowa,University of Northern Iowa,,TRUE,,
Eastern Washington University,Eastern Washington University,,TRUE,,
Azusa Pacific University,Azusa Pacific University College,,TRUE,,
Georgia Southern University,Georgia Southern University,,TRUE,,
Saint Louis University,Saint Louis University-Main Campus,,TRUE,,
Wayne State University,Wayne State University,,TRUE,,
University of Central Oklahoma,University of Central Oklahoma,,TRUE,,
University of Virginia,University of Virginia-Main Campus,,TRUE,,
Wellesley College,Wellesley College,,TRUE,,
University of the Pacific,University of the Pacific,,TRUE,,
California State University Stanislaus,California State University-Stanislaus,,TRUE,,
Monmouth University,Monmouth University,,TRUE,,
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,,TRUE,,
Morgan State University,Morgan State University,,TRUE,,
Johns Hopkins University,Johns Hopkins University,,TRUE,,
Presbyterian College,Presbyterian College,,TRUE,,
Arizona State University,Arizona State University,,TRUE,,
Colorado College,Colorado College,,TRUE,,
Oregon State University,Oregon State University,,TRUE,,
Davidson College,Davidson College,,TRUE,,
Youngstown State University,Youngstown State University,,TRUE,,
Eastern Michigan University,Eastern Michigan University,,TRUE,,
Dominican University,Dominican University,,TRUE,,
University of Dayton,University of Dayton,,TRUE,,
Northern Illinois University,Northern Illinois University,,TRUE,,
Montana State University,Montana State University,,TRUE,,
Northern Michigan University,Northern Michigan University,,TRUE,,
University of Memphis,University of Memphis,,TRUE,,
University of Richmond,University of Richmond,,TRUE,,
Dickinson College,Dickinson College,,TRUE,,
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,,TRUE,,
Piedmont Virginia Community College,Piedmont Virginia Community College,,TRUE,,
Claremont McKenna College,Claremont McKenna College,,TRUE,,
Pomona,Pomona College,,TRUE,,
Queens University of Charlotte,Queens University of Charlotte,,TRUE,,
St Mary's College of Maryland,St Mary's College of Maryland,,TRUE,,
University of California Merced,University of California-Merced,,TRUE,,
Richland College,Richland College,,TRUE,,
Henry Ford Community College,Henry Ford Community College,,TRUE,,
Drew University,Drew University,,TRUE,,
Abilene Christian University,Abilene Christian University,,TRUE,,
Scripps College,Scripps College,,TRUE,,
University of Colorado Denver,University of Colorado Denver,,TRUE,,
San Diego State,San Diego State University,,TRUE,,
Michigan State University,Michigan State University,,TRUE,,
DePauw University,DePauw University,,TRUE,,
Texas Wesleyan University,Texas Wesleyan University,,TRUE,,
The University of Texas at Austin,The University of Texas at Austin,,TRUE,,
Wartburg College,Wartburg College,,TRUE,,
Hope College,Hope College,,TRUE,,
Sam Houston State University,Sam Houston State University,,TRUE,,
Northern Kentucky University,Northern Kentucky University,,TRUE,,
Virginia University of Lynchburg,Virginia University of Lynchburg,,TRUE,,
Kansas State University,Kansas State University,,TRUE,,
University of Louisiana Monroe,University of Louisiana-Monroe,,TRUE,,
University of Wisconsin Stout,University of Wisconsin-Stout,,TRUE,,
Tennessee State University,Tennessee State University,,TRUE,,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,,TRUE,,
University of North Texas,University of North Texas,,TRUE,,
Texas Woman's University,Texas Woman's University,,TRUE,,
Babson College,Babson College,,TRUE,,
Buena Vista University,Buena Vista University,,TRUE,,
University of Wisconsin Platteville,University of Wisconsin-Platteville,,TRUE,,
Reed College,Reed College,,TRUE,,
Notre Dame,Notre Dame College,,TRUE,,
South Puget Sound Community College,South Puget Sound Community College,,TRUE,,
South Carolina State,South Carolina State University,,TRUE,,
Utah Valley University,Utah Valley University,,TRUE,,
Saginaw Valley State University,Saginaw Valley State University,,TRUE,,
University of Massachusetts Boston,University of Massachusetts-Boston,,TRUE,,
Monmouth College,Monmouth College,,TRUE,,
Western Oregon University,Western Oregon University,,TRUE,,
Montclair State University,Montclair State University,,TRUE,,
Santa Rosa Junior College,Santa Rosa Junior College,,TRUE,,
Oakland University,Oakland University,,TRUE,,
Sheridan College,Sheridan College,,TRUE,,
Lincoln Land Community College,Lincoln Land Community College,,TRUE,,
Johnson County Community College,Johnson County Community College,,TRUE,,
Central New Mexico Community College,Central New Mexico Community College,,TRUE,,
Westminster College,Westminster College,,TRUE,,
Augusta State University,Augusta State University,,TRUE,,
Jacksonville University,Jacksonville University,,TRUE,,
Georgetown,Georgetown University,,TRUE,,
Iowa State University,Iowa State University,,TRUE,,
Roosevelt University,Roosevelt University,,TRUE,,
Texas Christian University,Texas Christian University,,TRUE,,
Washington College,Washington College,,TRUE,,
University of Illinois at Chicago campus,University of Illinois at Chicago,,TRUE,,
North Park University,North Park University,,TRUE,,
Haverford College,Haverford College,,TRUE,,
Fort Hays State University,Fort Hays State University,,TRUE,,
Northwest Missouri State University,Northwest Missouri State University,,TRUE,,
